Fecha,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020
Ciudad Real,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4536,4681,4628,4648,4672,4744,4764,4794,4845,4878,4904,4930,5045,5115,5171,5237,5300,5353,5379,5399,3370,3371,3378,3368,3381,3382,3387,3386,3397,3394,3390,,,3425,3471,3484,3501,3502
Albacete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2367,2404,2467,2486,2511,2573,2623,2680,2777,2789,2803,2831,2917,2956,3015,3100,3131,3133,3131,3173,1888,1886,1885,1872,1872,1870,1870,1873,1868,1862,1874,,,1874,1888,1900,1898,1896
Toledo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2212,2249,2309,2390,2427,2408,2433,2498,2601,2612,2607,2580,2593,2606,2628,2649,2708,2734,2742,2758,1156,1132,1134,1124,1127,1121,1113,1132,1122,1114,1119,,,1107,1102,1098,1124,1126
Guadalajara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1063,1126,1170,1191,1206,1222,1247,1288,1295,1365,1423,1431,1475,1510,1531,1542,1595,1601,1604,1603,641,641,641,644,650,651,658,659,661,668,669,,,669,671,672,680,670
Cuenca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,838,897,895,924,1000,1030,1029,1143,1269,1309,1390,1444,1627,1808,1869,1965,2040,2090,2203,2212,319,319,338,339,342,345,345,350,349,354,356,,,380,380,400,410,407
